src,dest,status
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n013-2018-08-27-15-20-20+0800__CAM_BACK__1535354625637005.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n013-2018-08-27-15-20-20+0800__CAM_BACK__1535354625637005.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n016-2018-07-10-11-22-35+0800__CAM_BACK__1531193241437551.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n016-2018-07-10-11-22-35+0800__CAM_BACK__1531193241437551.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n013-2018-08-16-16-15-38+0800__CAM_FRONT__1534408004662407.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n013-2018-08-16-16-15-38+0800__CAM_FRONT__1534408004662407.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n013-2018-08-02-16-01-31+0800__CAM_BACK__1533197219137005.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n013-2018-08-02-16-01-31+0800__CAM_BACK__1533197219137005.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n013-2018-08-27-11-35-10+0800__CAM_FRONT__1535341068612407.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n013-2018-08-27-11-35-10+0800__CAM_FRONT__1535341068612407.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n008-2018-09-10-15-24-40-0400__CAM_FRONT__1536608124662404.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n008-2018-09-10-15-24-40-0400__CAM_FRONT__1536608124662404.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n008-2018-05-30-15-20-59-0400__CAM_FRONT__1527708103412465.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n008-2018-05-30-15-20-59-0400__CAM_FRONT__1527708103412465.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n010-2018-07-03-16-05-53+0800__CAM_FRONT__1530605535262488.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n010-2018-07-03-16-05-53+0800__CAM_FRONT__1530605535262488.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n008-2018-05-30-15-20-59-0400__CAM_BACK__1527709687137570.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n008-2018-05-30-15-20-59-0400__CAM_BACK__1527709687137570.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n008-2018-05-30-15-20-59-0400__CAM_BACK__1527708122937570.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n008-2018-05-30-15-20-59-0400__CAM_BACK__1527708122937570.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n004-2018-01-04-11-05-42+0800__CAM_FRONT_LEFT__1515035365152315.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n004-2018-01-04-11-05-42+0800__CAM_FRONT_LEFT__1515035365152315.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-05-30-15-20-59-0400__CAM_FRONT_LEFT__1527709683004917.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-05-30-15-20-59-0400__CAM_FRONT_LEFT__1527709683004917.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n003-2018-01-04-11-23-25+0800__CAM_FRONT_RIGHT__1515036672727387.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n003-2018-01-04-11-23-25+0800__CAM_FRONT_RIGHT__1515036672727387.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n003-2018-01-04-11-23-25+0800__CAM_FRONT_RIGHT__1515036668143864.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n003-2018-01-04-11-23-25+0800__CAM_FRONT_RIGHT__1515036668143864.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n004-2018-02-23-15-05-17+0800__CAM_BACK_LEFT__1519369701976355.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n004-2018-02-23-15-05-17+0800__CAM_BACK_LEFT__1519369701976355.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n004-2018-02-23-15-05-17+0800__CAM_BACK_LEFT__1519369691559416.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n004-2018-02-23-15-05-17+0800__CAM_BACK_LEFT__1519369691559416.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n004-2018-02-23-15-30-20+0800__CAM_BACK_RIGHT__1519371764851718.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n004-2018-02-23-15-30-20+0800__CAM_BACK_RIGHT__1519371764851718.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_BACK_RIGHT__1527708112777813.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_BACK_RIGHT__1527708112777813.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-09-13-15-21-54-0400__CAM_FRONT_LEFT__1536866995254799.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-09-13-15-21-54-0400__CAM_FRONT_LEFT__1536866995254799.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n008-2018-05-30-15-20-59-0400__CAM_BACK__1527708112937570.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n008-2018-05-30-15-20-59-0400__CAM_BACK__1527708112937570.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-03-17-00-35+0800__CAM_FRONT_LEFT__1514970594559427.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-03-17-00-35+0800__CAM_FRONT_LEFT__1514970594559427.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n004-2018-01-02-17-09-18+0800__CAM_BACK_LEFT__1514884323825259.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n004-2018-01-02-17-09-18+0800__CAM_BACK_LEFT__1514884323825259.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n008-2018-05-30-16-31-36-0400__CAM_BACK__1527713622937570.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n008-2018-05-30-16-31-36-0400__CAM_BACK__1527713622937570.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-05-30-16-31-36-0400__CAM_FRONT_LEFT__1527713617004917.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-05-30-16-31-36-0400__CAM_FRONT_LEFT__1527713617004917.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n010-2018-07-03-16-05-53+0800__CAM_BACK_LEFT__1530605249647633.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n010-2018-07-03-16-05-53+0800__CAM_BACK_LEFT__1530605249647633.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n015-2018-09-03-11-30-39+0800__CAM_FRONT_LEFT__1535945708654844.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n015-2018-09-03-11-30-39+0800__CAM_FRONT_LEFT__1535945708654844.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n010-2018-07-05-14-21-00+0800__CAM_FRONT__1530772358262488.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n010-2018-07-05-14-21-00+0800__CAM_FRONT__1530772358262488.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n008-2018-03-14-14-56-49-0400__CAM_FRONT__1521054862507124.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n008-2018-03-14-14-56-49-0400__CAM_FRONT__1521054862507124.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n003-2018-07-12-15-40-35+0800__CAM_BACK__1531384788687543.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n003-2018-07-12-15-40-35+0800__CAM_BACK__1531384788687543.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n010-2018-07-03-14-28-18+0800__CAM_BACK__1530599870137257.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n010-2018-07-03-14-28-18+0800__CAM_BACK__1530599870137257.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n013-2018-08-02-14-08-14+0800__CAM_FRONT_LEFT__1533190262904825.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n013-2018-08-02-14-08-14+0800__CAM_FRONT_LEFT__1533190262904825.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-05-18-15-42-08-0400__CAM_FRONT_LEFT__1526672789504917.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n008-2018-05-18-15-42-08-0400__CAM_FRONT_LEFT__1526672789504917.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_FRONT_RIGHT__1527709541869956.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_FRONT_RIGHT__1527709541869956.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n003-2018-07-12-15-40-35+0800__CAM_FRONT_RIGHT__1531384782270363.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n003-2018-07-12-15-40-35+0800__CAM_FRONT_RIGHT__1531384782270363.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n003-2018-07-12-15-40-35+0800__CAM_BACK_LEFT__1531384764047376.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n003-2018-07-12-15-40-35+0800__CAM_BACK_LEFT__1531384764047376.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n010-2018-07-05-14-36-33+0800__CAM_BACK_LEFT__1530772743897633.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n010-2018-07-05-14-36-33+0800__CAM_BACK_LEFT__1530772743897633.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n013-2018-09-03-14-19-07+0800__CAM_BACK_RIGHT__1535956036778054.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n013-2018-09-03-14-19-07+0800__CAM_BACK_RIGHT__1535956036778054.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n013-2018-07-27-15-22-32+0800__CAM_BACK_RIGHT__1532676695128054.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n013-2018-07-27-15-22-32+0800__CAM_BACK_RIGHT__1532676695128054.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212555762416.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212555762416.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n003-2018-07-12-15-40-35+0800__CAM_FRONT__1531384779112871.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n003-2018-07-12-15-40-35+0800__CAM_FRONT__1531384779112871.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n003-2018-07-12-15-40-35+0800__CAM_FRONT__1531384781012871.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n003-2018-07-12-15-40-35+0800__CAM_FRONT__1531384781012871.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212137162416.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212137162416.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n008-2018-03-14-15-16-29-0400__CAM_FRONT__1521055869876487.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n008-2018-03-14-15-16-29-0400__CAM_FRONT__1521055869876487.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212530912416.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212530912416.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212535112416.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n005-2018-07-10-16-40-32+0800__CAM_FRONT__1531212535112416.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n013-2018-08-16-16-15-38+0800__CAM_FRONT__1534407613112407.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n013-2018-08-16-16-15-38+0800__CAM_FRONT__1534407613112407.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n008-2018-06-06-10-43-05-0400__CAM_FRONT__1528297167862465.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n008-2018-06-06-10-43-05-0400__CAM_FRONT__1528297167862465.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n008-2018-07-31-15-02-23-0400__CAM_FRONT__1533064990262404.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n008-2018-07-31-15-02-23-0400__CAM_FRONT__1533064990262404.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n008-2018-07-31-15-02-23-0400__CAM_BACK__1533065002037558.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n008-2018-07-31-15-02-23-0400__CAM_BACK__1533065002037558.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n009-2018-08-22-15-43-30-0400__CAM_BACK__1534967212387579.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n009-2018-08-22-15-43-30-0400__CAM_BACK__1534967212387579.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n009-2018-08-22-15-43-30-0400__CAM_FRONT_LEFT__1534967326655369.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n009-2018-08-22-15-43-30-0400__CAM_FRONT_LEFT__1534967326655369.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n009-2018-08-22-15-43-30-0400__CAM_FRONT_LEFT__1534967205605369.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n009-2018-08-22-15-43-30-0400__CAM_FRONT_LEFT__1534967205605369.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n008-2018-07-31-15-02-23-0400__CAM_FRONT_RIGHT__1533064990170482.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n008-2018-07-31-15-02-23-0400__CAM_FRONT_RIGHT__1533064990170482.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n008-2018-09-10-15-24-40-0400__CAM_FRONT_RIGHT__1536607949420482.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n008-2018-09-10-15-24-40-0400__CAM_FRONT_RIGHT__1536607949420482.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n009-2018-05-08-15-52-41-0400__CAM_BACK_LEFT__1525809416573561.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n009-2018-05-08-15-52-41-0400__CAM_BACK_LEFT__1525809416573561.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n008-2018-05-16-15-08-58-0400__CAM_BACK_LEFT__1526497883447295.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n008-2018-05-16-15-08-58-0400__CAM_BACK_LEFT__1526497883447295.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_BACK_RIGHT__1527709259777813.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_BACK_RIGHT__1527709259777813.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-06-06-10-43-05-0400__CAM_BACK_RIGHT__1528297182877813.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-06-06-10-43-05-0400__CAM_BACK_RIGHT__1528297182877813.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_BACK_RIGHT__1527708529177813.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-30-15-20-59-0400__CAM_BACK_RIGHT__1527708529177813.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-18-15-42-08-0400__CAM_BACK_RIGHT__1526672691427813.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n008-2018-05-18-15-42-08-0400__CAM_BACK_RIGHT__1526672691427813.jpg,COPIED
